date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-11,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,3155453.00,468300779.73,8.05
2020-12-11,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,20016038.00,423239123.51,7.28
2020-12-11,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3950696.00,418813282.96,7.20
2020-12-11,ARKG,"INVITAE CORP",NVTA,46185L103,6195551.00,350668186.60,6.03
2020-12-11,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,2360739.00,334398679.35,5.75
2020-12-11,ARKG,"PERSONALIS INC",PSNL,71535D106,5603628.00,214674988.68,3.69
2020-12-11,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,2239678.00,212187093.72,3.65
2020-12-11,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,1045042.00,208569482.36,3.59
2020-12-11,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,4168681.00,208225615.95,3.58
2020-12-11,ARKG,"CAREDX INC",CDNA,14167L103,2983206.00,205662221.64,3.54
2020-12-11,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,1421085.00,184030507.50,3.17
2020-12-11,ARKG,"CELLECTIS - ADR",CLLS,15117K103,6051067.00,178566987.17,3.07
2020-12-11,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,159454925.22,159454925.22,2.74
2020-12-11,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6319524.00,136628108.88,2.35
2020-12-11,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2022952.00,125261187.84,2.15
2020-12-11,ARKG,"VERACYTE INC",VCYT,92337F107,2189953.00,121629989.62,2.09
2020-12-11,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2184178.00,116329320.28,2.00
2020-12-11,ARKG,"ACCOLADE INC",ACCD,00437E102,1729948.00,102551317.44,1.76
2020-12-11,ARKG,"INCYTE CORP",INCY,45337C102,1198441.00,97433253.30,1.68
2020-12-11,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3561614.00,86689684.76,1.49
2020-12-11,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,970617.00,86879927.67,1.49
2020-12-11,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,383819.00,86040705.23,1.48
2020-12-11,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,4557046.00,85626894.34,1.47
2020-12-11,ARKG,"COMPUGEN LTD",CGEN,M25722105,5735230.00,71346261.20,1.23
2020-12-11,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,1188134.00,70979125.16,1.22
2020-12-11,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,754866.00,69915688.92,1.20
2020-12-11,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,139690.00,67019071.30,1.15
2020-12-11,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,1468867.00,63469743.07,1.09
2020-12-11,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,1129039.00,63282635.95,1.09
2020-12-11,ARKG,"CERUS CORP",CERS,157085101,8174256.00,62778286.08,1.08
2020-12-11,ARKG,"SCHRODINGER INC",SDGR,80810D103,872177.00,62631030.37,1.08
2020-12-11,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1343801.00,61559523.81,1.06
2020-12-11,ARKG,"ALPHABET INC-CL A",GOOGL,02079K305,33017.00,58598571.60,1.01
2020-12-11,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,389602.00,57641615.90,0.99
2020-12-11,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,724717.00,56781576.95,0.98
2020-12-11,ARKG,"PHREESIA INC",PHR,71944F106,961695.00,55682140.50,0.96
2020-12-11,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,744902.00,51323747.80,0.88
2020-12-11,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,109079.00,51418749.81,0.88
2020-12-11,ARKG,"GUARDANT HEALTH INC",GH,40131M109,394744.00,48983782.96,0.84
2020-12-11,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,6515846.00,47174725.04,0.81
2020-12-11,ARKG,"CODEXIS INC",CDXS,192005106,2536920.00,44522946.00,0.77
2020-12-11,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3167084.00,32145902.60,0.55
2020-12-11,ARKG,"SAREPTA THERAPEUTICS INC",SRPT,803607100,177451.00,29676905.24,0.51
2020-12-11,ARKG,"EVOGENE LTD",EVGN,M4119S104,4594499.00,18837445.90,0.32
2020-12-11,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,439750.00,15993707.50,0.28
2020-12-11,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,2782943.00,16502851.99,0.28
2020-12-11,ARKG,"LONGVIEW ACQUISITION CORP-A",LGVW,543195101,871209.00,13512451.59,0.23
2020-12-11,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,766662.00,7260289.14,0.12
2020-12-11,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375102.00,2884534.38,0.05
