date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-24,ARKQ,"TESLA INC",TSLA,88160R101,287283.00,190115270.91,11.69
2020-12-24,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,2051460.00,115722858.60,7.12
2020-12-24,ARKQ,"TRIMBLE INC",TRMB,896239100,987950.00,65846867.50,4.05
2020-12-24,ARKQ,"DEERE & CO",DE,244199105,238226.00,64132821.46,3.94
2020-12-24,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,1412990.00,62934574.60,3.87
2020-12-24,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,35417.00,61584850.45,3.79
2020-12-24,ARKQ,"PROTO LABS INC",PRLB,743713109,333537.00,57551809.35,3.54
2020-12-24,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,2143391.00,56585522.40,3.48
2020-12-24,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1382815.00,53998925.75,3.32
2020-12-24,ARKQ,"JD.COM INC-ADR",JD,47215P106,615217.00,51979684.33,3.20
2020-12-24,ARKQ,"2U INC",TWOU,90214J101,1201373.00,50445652.27,3.10
2020-12-24,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,313454.00,49315717.82,3.03
2020-12-24,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,460867.00,48838075.99,3.00
2020-12-24,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,252390.00,48211537.80,2.97
2020-12-24,ARKQ,"CATERPILLAR INC",CAT,149123101,239524.00,43008929.44,2.65
2020-12-24,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,1773620.00,40740051.40,2.51
2020-12-24,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,829541.00,40564554.90,2.49
2020-12-24,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,4580685.00,40355834.85,2.48
2020-12-24,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,1431331.00,38102031.22,2.34
2020-12-24,ARKQ,"STRATASYS LTD",SSYS,M85548101,1693400.00,36594374.00,2.25
2020-12-24,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,390310.00,34725880.70,2.14
2020-12-24,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1291469.00,33384473.65,2.05
2020-12-24,ARKQ,"SYNOPSYS INC",SNPS,871607107,118999.00,30497063.72,1.88
2020-12-24,ARKQ,"SPLUNK INC",SPLK,848637104,166142.00,29938788.40,1.84
2020-12-24,ARKQ,"TERADYNE INC",TER,880770102,228435.00,27156352.80,1.67
2020-12-24,ARKQ,"XILINX INC",XLNX,983919101,171727.00,24383516.73,1.50
2020-12-24,ARKQ,"ANSYS INC",ANSS,03662Q105,61234.00,22299585.78,1.37
2020-12-24,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,770511.00,21813166.41,1.34
2020-12-24,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,24826.00,20034582.00,1.23
2020-12-24,ARKQ,"AMAZON.COM INC",AMZN,023135106,6023.00,19109111.87,1.18
2020-12-24,ARKQ,"APPLE INC",AAPL,037833100,142078.00,18750033.66,1.15
2020-12-24,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,123154.00,16133174.00,0.99
2020-12-24,ARKQ,"AUTODESK INC",ADSK,052769106,53192.00,16031536.88,0.99
2020-12-24,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,473817.00,15678604.53,0.96
2020-12-24,ARKQ,"NVIDIA CORP",NVDA,67066G104,27828.00,14463603.00,0.89
2020-12-24,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,199022.00,13881784.50,0.85
2020-12-24,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,53612.00,13329551.56,0.82
2020-12-24,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,12767951.52,12767951.52,0.79
2020-12-24,ARKQ,"EXONE CO/THE",XONE,302104104,997483.00,10822690.55,0.67
2020-12-24,ARKQ,"HONEYWELL INTERNATIONAL INC",HON,438516106,35964.00,7535536.92,0.46
2020-12-24,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,48490.00,3424848.70,0.21
2020-12-24,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,197165.00,3146753.40,0.19
