date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-01-06,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,19967366.00,565076457.80,7.02
2021-01-06,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,2528997.00,516294737.55,6.41
2021-01-06,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2739885.00,448930157.25,5.58
2021-01-06,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,3109399.00,445950004.58,5.54
2021-01-06,ARKG,"CAREDX INC",CDNA,14167L103,4193599.00,306132727.00,3.80
2021-01-06,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,2995571.00,298898074.38,3.71
2021-01-06,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,6075694.00,284646263.90,3.54
2021-01-06,ARKG,"INVITAE CORP",NVTA,46185L103,6180483.00,281459195.82,3.50
2021-01-06,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,6194145.00,266410176.45,3.31
2021-01-06,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,2123100.00,263858868.00,3.28
2021-01-06,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,553786.00,260329260.74,3.23
2021-01-06,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,2411582.00,225507032.82,2.80
2021-01-06,ARKG,"PERSONALIS INC",PSNL,71535D106,6739994.00,219723804.40,2.73
2021-01-06,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,8710400.00,199468160.00,2.48
2021-01-06,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3935339.00,194287686.43,2.41
2021-01-06,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,843100.00,191088615.00,2.37
2021-01-06,ARKG,"ALPHABET INC-CL A",GOOGL,02079K305,97221.00,167500116.48,2.08
2021-01-06,ARKG,"CELLECTIS - ADR",CLLS,15117K103,6036351.00,163766202.63,2.03
2021-01-06,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,8902039.00,159346498.10,1.98
2021-01-06,ARKG,"INCYTE CORP",INCY,45337C102,1840340.00,155159065.40,1.93
2021-01-06,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,2136030.00,153003828.90,1.90
2021-01-06,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,1687636.00,148174440.80,1.84
2021-01-06,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2178866.00,145417516.84,1.81
2021-01-06,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,1812076.00,145944601.04,1.81
2021-01-06,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,2478485.00,139266072.15,1.73
2021-01-06,ARKG,"SCHRODINGER INC",SDGR,80810D103,1440963.00,114801522.21,1.43
2021-01-06,ARKG,"ACCOLADE INC",ACCD,00437E102,2444960.00,107700488.00,1.34
2021-01-06,ARKG,"VERACYTE INC",VCYT,92337F107,2154080.00,105248348.80,1.31
2021-01-06,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,385078.00,103420398.46,1.28
2021-01-06,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,1168641.00,99334485.00,1.23
2021-01-06,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,195681.00,94946378.01,1.18
2021-01-06,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3552954.00,91346447.34,1.13
2021-01-06,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,1595607.00,89226343.44,1.11
2021-01-06,ARKG,"CODEXIS INC",CDXS,192005106,4091525.00,88008702.75,1.09
2021-01-06,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,550790.00,77248297.50,0.96
2021-01-06,ARKG,"PHREESIA INC",PHR,71944F106,1359041.00,75114196.07,0.93
2021-01-06,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,74291282.68,74291282.68,0.92
2021-01-06,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,1052744.00,72965686.64,0.91
2021-01-06,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,8619409.00,72403035.60,0.90
2021-01-06,ARKG,"GUARDANT HEALTH INC",GH,40131M109,558030.00,72287206.20,0.90
2021-01-06,ARKG,"COMPUGEN LTD",CGEN,M25722105,5721282.00,71630450.64,0.89
2021-01-06,ARKG,"CERUS CORP",CERS,157085101,8154380.00,56999116.20,0.71
2021-01-06,ARKG,"SAREPTA THERAPEUTICS INC",SRPT,803607100,250851.00,41754148.95,0.52
2021-01-06,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3159384.00,32604842.88,0.40
2021-01-06,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,807566.00,29871866.34,0.37
2021-01-06,ARKG,"LONGVIEW ACQUISITION CORP-A",LGVW,543195101,1557357.00,28561927.38,0.35
2021-01-06,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,2839610.00,26891106.70,0.33
2021-01-06,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,3836111.00,26967860.33,0.33
2021-01-06,ARKG,"908 DEVICES INC",MASS,65443P102,452676.00,25281954.60,0.31
2021-01-06,ARKG,"EVOGENE LTD",EVGN,M4119S104,4583323.00,21724951.02,0.27
2021-01-06,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,374190.00,4987952.70,0.06
