date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-01-19,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,18538483.00,745247016.60,6.70
2021-01-19,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,3629348.00,745794720.52,6.70
2021-01-19,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,3085805.00,718128539.60,6.46
2021-01-19,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2537293.00,503119828.97,4.52
2021-01-19,ARKG,"CAREDX INC",CDNA,14167L103,4922562.00,459422711.46,4.13
2021-01-19,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,774674.00,413590701.86,3.72
2021-01-19,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,3516235.00,401940822.85,3.61
2021-01-19,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,2675598.00,398209250.34,3.58
2021-01-19,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,7131793.00,363222217.49,3.27
2021-01-19,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,7898987.00,355296435.26,3.19
2021-01-19,ARKG,"INVITAE CORP",NVTA,46185L103,6180483.00,345241780.38,3.10
2021-01-19,ARKG,"PERSONALIS INC",PSNL,71535D106,6739994.00,328844307.26,2.96
2021-01-19,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,1391903.00,322796224.73,2.90
2021-01-19,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,3175010.00,306991716.90,2.76
2021-01-19,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3935339.00,269373954.55,2.42
2021-01-19,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,14039073.00,244841433.12,2.20
2021-01-19,ARKG,"ALPHABET INC-CL A",GOOGL,02079K305,114093.00,203595535.71,1.83
2021-01-19,ARKG,"INCYTE CORP",INCY,45337C102,2160316.00,202983291.36,1.82
2021-01-19,ARKG,"CELLECTIS - ADR",CLLS,15117K103,6036351.00,200708670.75,1.80
