date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-02-10,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,520105.00,10490517.85,3.20
2021-02-10,IZRL,"PERION NETWORK LTD",PERI,M78673114,358566.00,8605584.00,2.63
2021-02-10,IZRL,"INTERCURE LTD",INCR,B23SD94,4078832.00,8076498.81,2.46
2021-02-10,IZRL,"E & M COMPUTING",EMCO,6302216,962331.00,8055201.31,2.46
2021-02-10,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,373615.00,7165935.70,2.19
2021-02-10,IZRL,"EVOGENE LTD",EVGN,B289530,745408.00,6833678.03,2.09
2021-02-10,IZRL,"STRATASYS LTD",SSYS,M85548101,131233.00,6644326.79,2.03
2021-02-10,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,532339.00,6616973.77,2.02
2021-02-10,IZRL,"ROBOGROUP T.E.K LTD",ROBO,6302722,2091227.00,6482486.31,1.98
2021-02-10,IZRL,"POLYPID LTD",PYPD,M8001Q118,459126.00,6308391.24,1.93
2021-02-10,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,232807.00,6276476.72,1.92
2021-02-10,IZRL,"DARIOHEALTH CORP",DRIO,23725P209,213997.00,6184513.30,1.89
2021-02-10,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,220798.00,5929784.86,1.81
2021-02-10,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,253077.00,5868855.63,1.79
2021-02-10,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,459654.00,5865185.04,1.79
2021-02-10,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,616516.00,5764424.60,1.76
2021-02-10,IZRL,"NANO DIMENSION LTD - ADR",NNDM,63008G203,366006.00,5735314.02,1.75
2021-02-10,IZRL,"INMODE LTD",INMD,M5425M103,80884.00,5635188.28,1.72
2021-02-10,IZRL,"CAMTEK LTD",CAMT,M20791105,205970.00,5618861.60,1.71
2021-02-10,IZRL,"WIX.COM LTD",WIX,M98068105,19224.00,5584956.48,1.70
2021-02-10,IZRL,"NANO-X IMAGING LTD",NNOX,M70700105,75387.00,5543959.98,1.69
2021-02-10,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,19645.00,5537729.05,1.69
2021-02-10,IZRL,"ALLOT LTD",ALLT,M0854Q105,344893.00,5445860.47,1.66
2021-02-10,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,95826.00,5403241.32,1.65
2021-02-10,IZRL,"SILICOM LTD",SILC,M84116108,110153.00,5340217.44,1.63
2021-02-10,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,32749.00,5345955.82,1.63
2021-02-10,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,36280.00,5226001.93,1.59
2021-02-10,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,38582.00,5189692.74,1.58
2021-02-10,IZRL,"ARAD LTD",ARD,B0G7VP6,310593.00,5137743.14,1.57
2021-02-10,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,124283.00,5155832.50,1.57
2021-02-10,IZRL,"MALAM - TEAM LTD",MLTM,6875923,17461.00,5105874.90,1.56
2021-02-10,IZRL,"MATRIX IT LTD",MTRX,6747754,211311.00,5113266.84,1.56
2021-02-10,IZRL,"KAMADA LTD",KMDA,B0L2CR5,687125.00,5064767.20,1.55
2021-02-10,IZRL,"HILAN LTD",HLAN,6267230,106322.00,5082279.29,1.55
2021-02-10,IZRL,"RADWARE LTD",RDWR,M81873107,174913.00,5091717.43,1.55
2021-02-10,IZRL,"NICE LTD - SPON ADR",NICE,653656108,17974.00,5003781.86,1.53
2021-02-10,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,145584.00,5009545.44,1.53
2021-02-10,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,156442.00,4973291.18,1.52
2021-02-10,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,1039279.00,4948720.01,1.51
2021-02-10,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,62422.00,4931338.00,1.50
2021-02-10,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,592978.00,4820911.14,1.47
2021-02-10,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,45228.00,4778723.82,1.46
2021-02-10,IZRL,"HAMLET (ISRAEL-CANADA) LTD",HAML,6443858,253071.00,4772069.63,1.46
2021-02-10,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,29400.00,4756920.00,1.45
2021-02-10,IZRL,"AUDIOCODES LTD",AUDC,M15342104,151363.00,4763393.61,1.45
2021-02-10,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,48481.00,4707989.91,1.44
2021-02-10,IZRL,"COMPUGEN LTD",CGEN,M25722105,358554.00,4707814.02,1.44
2021-02-10,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,4695020.00,4713086.35,1.44
2021-02-10,IZRL,"JFROG LTD",FROG,M6191J100,71705.00,4729661.80,1.44
2021-02-10,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,396673.00,4728342.16,1.44
2021-02-10,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,59725.00,4641827.00,1.42
2021-02-10,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,14570.00,4668228.00,1.42
2021-02-10,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,260244.00,4611292.76,1.41
2021-02-10,IZRL,"ITAMAR MEDICAL LTD",ITMR,B1VJHY5,5263626.00,4628640.44,1.41
2021-02-10,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,3319178.00,4549119.46,1.39
2021-02-10,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,38275.00,4541328.75,1.39
2021-02-10,IZRL,"AUGWIND ENERGY TECH STORAGE",BIMCM,B290CJ7,152536.00,4489860.64,1.37
2021-02-10,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,921840.00,4415613.60,1.35
2021-02-10,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,1060035.00,4280507.43,1.31
2021-02-10,IZRL,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,1441404.93,1441404.93,0.44
2021-02-10,IZRL,"AYALA PHARMACEUTICALS INC",AYLA,05465V108,36361.00,472693.00,0.14
2021-02-10,IZRL,"BIONDVAX PHARMACEUTICALS-ADR",BVXV,09073Q105,9720.00,53071.20,0.02
