date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-21,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,275280.00,2496789.60,3.91
2020-12-21,IZRL,"PERION NETWORK LTD",PERI,M78673114,185734.00,2434972.74,3.81
2020-12-21,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,17728.00,2200638.14,3.45
2020-12-21,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,8996.00,1995942.52,3.13
2020-12-21,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,21433.00,1948034.32,3.05
2020-12-21,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,361235.00,1925429.18,3.02
2020-12-21,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,213301.00,1913309.97,3.00
2020-12-21,IZRL,"STRATASYS LTD",SSYS,M85548101,89224.00,1887979.84,2.96
2020-12-21,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,12743.00,1867996.37,2.93
2020-12-21,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,102271.00,1845991.55,2.89
2020-12-21,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,366334.00,1837482.68,2.88
2020-12-21,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,11606.00,1820443.85,2.85
2020-12-21,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,72398.00,1783886.72,2.79
2020-12-21,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,284453.00,1738007.83,2.72
2020-12-21,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,24668.00,1726266.64,2.70
2020-12-21,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,23932.00,1698693.36,2.66
2020-12-21,IZRL,"INMODE LTD",INMD,M5425M103,35270.00,1682379.00,2.63
2020-12-21,IZRL,"NICE LTD - SPON ADR",NICE,653656108,6064.00,1646921.76,2.58
2020-12-21,IZRL,"SILICOM LTD",SILC,M84116108,40150.00,1647354.50,2.58
2020-12-21,IZRL,"CAMTEK LTD",CAMT,M20791105,78120.00,1567087.20,2.45
2020-12-21,IZRL,"ALLOT LTD",ALLT,M0854Q105,140751.00,1558113.57,2.44
2020-12-21,IZRL,"HILAN LTD",HLAN,6267230,32741.00,1548431.31,2.43
2020-12-21,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,557981.00,1528867.94,2.39
2020-12-21,IZRL,"RADWARE LTD",RDWR,M81873107,58313.00,1516138.00,2.37
2020-12-21,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,153645.00,1504184.55,2.36
2020-12-21,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,11967.00,1428724.93,2.24
2020-12-21,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,11188.00,1420540.36,2.22
2020-12-21,IZRL,"WIX.COM LTD",WIX,M98068105,4993.00,1346262.59,2.11
2020-12-21,IZRL,"POLYPID LTD",PYPD,M8001Q118,125794.00,1344737.86,2.11
2020-12-21,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,46879.00,1325738.12,2.08
2020-12-21,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,142422.00,1283222.22,2.01
2020-12-21,IZRL,"MATRIX IT LTD",MTRX,6747754,59309.00,1278568.79,2.00
2020-12-21,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,63059.00,1181725.66,1.85
2020-12-21,IZRL,"AUDIOCODES LTD",AUDC,M15342104,42790.00,1171590.20,1.83
2020-12-21,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,1177973.00,1165016.28,1.82
2020-12-21,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,952822.00,1154588.82,1.81
2020-12-21,IZRL,"KAMADA LTD",KMDA,B0L2CR5,179491.00,1150817.30,1.80
2020-12-21,IZRL,"COMPUGEN LTD",CGEN,M25722105,84257.00,1142524.92,1.79
2020-12-21,IZRL,"AYALA PHARMACEUTICALS INC",AYLA,05465V108,94721.00,1098763.60,1.72
2020-12-21,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,136458.00,843310.44,1.32
2020-12-21,IZRL,"BIONDVAX PHARMACEUTICALS-ADR",BVXV,09073Q105,35476.00,116361.28,0.18
2020-12-21,IZRL,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,75199.83,75199.83,0.12
