date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-22,PRNT,"3D SYSTEMS CORP",DDD,88554D205,731810.00,8708539.00,7.24
2020-12-22,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,378527.00,7188823.59,5.98
2020-12-22,PRNT,"STRATASYS LTD",SSYS,M85548101,288818.00,6524398.62,5.43
2020-12-22,PRNT,"PROTO LABS INC",PRLB,743713109,33898.00,6254858.96,5.20
2020-12-22,PRNT,"HP INC",HPQ,40434L105,251579.00,6078148.64,5.06
2020-12-22,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,101071.00,5865150.13,4.88
2020-12-22,PRNT,"PTC INC",PTC,69370C100,48051.00,5767081.02,4.80
2020-12-22,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,91843.00,5366386.49,4.46
2020-12-22,PRNT,"TRIMBLE INC",TRMB,896239100,80792.00,5346814.56,4.45
2020-12-22,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,4572.00,5266097.31,4.38
2020-12-22,PRNT,"RENISHAW PLC",RSW,0732358,65791.00,5190672.12,4.32
2020-12-22,PRNT,"MGI DIGITAL GRAPHIC TECHNOLO",ALMDG,B18FJV7,89132.00,5142209.93,4.28
2020-12-22,PRNT,"AUTODESK INC",ADSK,052769106,16543.00,5026755.98,4.18
2020-12-22,PRNT,"EXONE CO/THE",XONE,302104104,397441.00,4761343.18,3.96
2020-12-22,PRNT,"DASSAULT SYSTEMES SE",DSY,5330047,22820.00,4529484.36,3.77
2020-12-22,PRNT,"ANSYS INC",ANSS,03662Q105,12017.00,4353879.27,3.62
2020-12-22,PRNT,"MICROSOFT CORP",MSFT,594918104,19195.00,4298528.30,3.58
2020-12-22,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,3634.00,1949968.06,1.62
2020-12-22,PRNT,"HEXAGON AB-B SHS",HEXAB,B1XFTL2,16182.00,1420205.50,1.18
2020-12-22,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,19215.00,1370029.50,1.14
2020-12-22,PRNT,"AMETEK INC",AME,031100100,11280.00,1327204.80,1.10
2020-12-22,PRNT,"GENERAL ELECTRIC CO",GE,369604103,121923.00,1293603.03,1.08
2020-12-22,PRNT,"KAISER ALUMINUM CORP",KALU,483007704,13395.00,1233277.65,1.03
2020-12-22,PRNT,"AEROJET ROCKETDYNE HOLDINGS",AJRD,007800105,21479.00,1134091.20,0.94
2020-12-22,PRNT,"ULTRA CLEAN HOLDINGS INC",UCTT,90385V107,34970.00,1120089.10,0.93
2020-12-22,PRNT,"BERTRANDT AG",BDT,5130861,22538.00,1090632.36,0.91
2020-12-22,PRNT,"OC OERLIKON CORP AG-REG",OERL,4612757,109148.00,1092829.17,0.91
2020-12-22,PRNT,"ARCONIC CORP",ARNC,03966V107,37217.00,1059195.82,0.88
2020-12-22,PRNT,"MICHELIN (CGDE)",ML,4588364,7923.00,1020635.22,0.85
2020-12-22,PRNT,"MOOG INC-CLASS A",MOG/A,615394202,13029.00,1019258.67,0.85
2020-12-22,PRNT,"LINCOLN ELECTRIC HOLDINGS",LECO,533900106,8498.00,1006078.22,0.84
2020-12-22,PRNT,"SIEMENS AG-REG",SIE,5727973,6575.00,914058.26,0.76
2020-12-22,PRNT,"MEDTRONIC PLC","MDT UN",G5960L103,7892.00,904659.96,0.75
2020-12-22,PRNT,"STRYKER CORP",SYK,863667101,3797.00,893396.13,0.74
2020-12-22,PRNT,"UNITED PARCEL SERVICE-CL B",UPS,911312106,4951.00,864246.56,0.72
2020-12-22,PRNT,"NUVASIVE INC",NUVA,670704105,15974.00,835120.72,0.69
2020-12-22,PRNT,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,641625.10,641625.10,0.53
2020-12-22,PRNT,"ALLEGHENY TECHNOLOGIES INC",ATI,01741R102,13773.00,224086.71,0.19
2020-12-22,PRNT,"CARPENTER TECHNOLOGY",CRS,144285103,6949.00,190750.05,0.16
2020-12-22,PRNT,"SGL CARBON SE",SGL,4818351,37375.00,166773.56,0.14
2020-12-22,PRNT,"VOESTALPINE AG",VOE,4943402,4577.00,162718.98,0.14
2020-12-22,PRNT,"HEXCEL CORP",HXL,428291108,3545.00,167749.40,0.14
2020-12-22,PRNT,"SANDVIK AB",SAND,B1VQ252,6610.00,159771.72,0.13
2020-12-22,PRNT,"TORAY INDUSTRIES INC",3402,6897143,26008.00,153878.05,0.13
2020-12-22,PRNT,"EVONIK INDUSTRIES AG",EVK,B5ZQ9D3,4761.00,154846.68,0.13
2020-12-22,PRNT,"DUPONT DE NEMOURS INC",DD,26614N102,2166.00,152529.72,0.13
2020-12-22,PRNT,"EASTMAN CHEMICAL CO",EMN,277432100,1493.00,150748.21,0.13
2020-12-22,PRNT,"XEROX HOLDINGS CORP","XRX UN",98421M106,6425.00,143791.50,0.12
2020-12-22,PRNT,"3M CO",MMM,88579Y101,755.00,131958.90,0.11
2020-12-22,PRNT,ARKEMA,AKE,B0Z5YZ2,1159.00,132602.89,0.11
2020-12-22,PRNT,"KONINKLIJKE DSM NV",DSM,B0HZL93,753.00,128907.32,0.11
2020-12-22,PRNT,"HENKEL AG & CO KGAA VORZUG",HEN3,5076705,1202.00,131735.24,0.11
