date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-11-23,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2892341.00,318157510.00,8.57
2020-11-23,ARKG,"INVITAE CORP",NVTA,46185L103,6206187.00,316019042.04,8.51
2020-11-23,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,17456224.00,260621424.32,7.02
2020-11-23,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1898385.00,222471738.15,5.99
2020-11-23,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3586916.00,219913819.96,5.92
2020-11-23,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,789707.00,153211055.07,4.13
2020-11-23,ARKG,"CAREDX INC",CDNA,14167L103,2495496.00,148606786.80,4.00
2020-11-23,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,1063768.00,128226594.72,3.45
2020-11-23,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,3352169.00,125203512.15,3.37
2020-11-23,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3567728.00,121588170.24,3.27
2020-11-23,ARKG,"PERSONALIS INC",PSNL,71535D106,4506107.00,118014942.33,3.18
2020-11-23,ARKG,"CELLECTIS - ADR",CLLS,15117K103,5002918.00,110614516.98,2.98
2020-11-23,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1952805.00,106017783.45,2.85
2020-11-23,ARKG,"VERACYTE INC",VCYT,92337F107,2038975.00,105109161.25,2.83
2020-11-23,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,5081784.00,100060326.96,2.69
2020-11-23,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,82602322.08,2.22
2020-11-23,ARKG,"INCYTE CORP",INCY,45337C102,963632.00,78430008.48,2.11
2020-11-23,ARKG,"COMPUGEN LTD",CGEN,M25722105,5745076.00,75432847.88,2.03
2020-11-23,ARKG,"ACCOLADE INC",ACCD,00437E102,1391052.00,69844720.92,1.88
2020-11-23,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,780445.00,65057895.20,1.75
2020-11-23,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,59435015.92,1.60
2020-11-23,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1080631.00,54323320.37,1.46
2020-11-23,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,239403.00,52158731.61,1.40
2020-11-23,ARKG,"CERUS CORP",CERS,157085101,8188288.00,51217741.44,1.38
2020-11-23,ARKG,"SCHRODINGER INC",SDGR,80810D103,701313.00,47443824.45,1.28
2020-11-23,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,313311.00,43092794.94,1.16
2020-11-23,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,907907.00,41609377.81,1.12
2020-11-23,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,2244122.00,39518988.42,1.06
2020-11-23,ARKG,"GUARDANT HEALTH INC",GH,40131M109,317336.00,36211210.96,0.98
2020-11-23,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,410020.00,35798846.20,0.96
2020-11-23,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,742952.00,35030186.80,0.94
2020-11-23,ARKG,"CODEXIS INC",CDXS,192005106,1915340.00,33288609.20,0.90
2020-11-23,ARKG,"PHREESIA INC",PHR,71944F106,773337.00,32727621.84,0.88
2020-11-23,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,599024.00,28753152.00,0.77
2020-11-23,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3445017.00,27198409.22,0.73
2020-11-23,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,48333.00,25307642.13,0.68
2020-11-23,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,582738.00,24748882.86,0.67
2020-11-23,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,2237793.00,21147143.85,0.57
2020-11-23,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,5239571.00,20748701.16,0.56
2020-11-23,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,38540.00,17189996.20,0.46
2020-11-23,ARKG,"EVOGENE LTD",EVGN,M4119S104,4602387.00,14589566.79,0.39
2020-11-23,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,353610.00,11616088.50,0.31
2020-11-23,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,11107185.61,11107185.61,0.30
2020-11-23,ARKG,"ILLUMINA INC",ILMN,452327109,32368.00,9770280.80,0.26
2020-11-23,ARKG,"LONGVIEW ACQUISITION-A",LGVW,543195101,459572.00,6250179.20,0.17
2020-11-23,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,616359.00,4844581.74,0.13
2020-11-23,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375748.00,3269007.60,0.09
