date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-11-23,ARKQ,"TESLA INC",TSLA,88160R101,232522.00,121341605.70,11.88
2020-11-23,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,1583221.00,70754146.49,6.92
2020-11-23,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,25042.00,43444364.12,4.25
2020-11-23,ARKQ,"2U INC",TWOU,90214J101,1209050.00,41482505.50,4.06
2020-11-23,ARKQ,"DEERE & CO",DE,244199105,147321.00,38466986.31,3.76
2020-11-23,ARKQ,"TRIMBLE INC",TRMB,896239100,613756.00,36187053.76,3.54
2020-11-23,ARKQ,"PROTO LABS INC",PRLB,743713109,269495.00,35939853.20,3.52
2020-11-23,ARKQ,"JD.COM INC-ADR",JD,47215P106,405966.00,35546382.96,3.48
2020-11-23,ARKQ,"XILINX INC",XLNX,983919101,254597.00,33937780.10,3.32
2020-11-23,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,1114230.00,32167820.10,3.15
2020-11-23,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,978937.00,31551139.51,3.09
2020-11-23,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,1517351.00,31576074.31,3.09
2020-11-23,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,587258.00,30919133.70,3.03
2020-11-23,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,773693.00,30135342.35,2.95
2020-11-23,ARKQ,"CATERPILLAR INC",CAT,149123101,169530.00,29630453.40,2.90
2020-11-23,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,157260.00,24518406.60,2.40
2020-11-23,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,246878.00,24226138.14,2.37
2020-11-23,ARKQ,"STRATASYS LTD",SSYS,M85548101,1704221.00,23825009.58,2.33
2020-11-23,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,276310.00,23718450.40,2.32
2020-11-23,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,929268.00,23148065.88,2.27
2020-11-23,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,934368.00,23139623.52,2.26
2020-11-23,ARKQ,"SPLUNK INC",SPLK,848637104,103964.00,20596308.04,2.02
2020-11-23,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,147334.00,19601315.36,1.92
2020-11-23,ARKQ,"SYNOPSYS INC",SNPS,871607107,84249.00,18197784.00,1.78
2020-11-23,ARKQ,"TERADYNE INC",TER,880770102,161689.00,17514152.48,1.71
2020-11-23,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,3242691.00,16797139.38,1.64
2020-11-23,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,442234.00,14363760.32,1.41
2020-11-23,ARKQ,"ANSYS INC",ANSS,03662Q105,43359.00,13589577.78,1.33
2020-11-23,ARKQ,"AMAZON.COM INC",AMZN,023135106,4273.00,13239420.47,1.30
2020-11-23,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,17576.00,12638022.80,1.24
2020-11-23,ARKQ,"EXONE CO/THE",XONE,302104104,1003858.00,11062515.16,1.08
2020-11-23,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,140897.00,10520778.99,1.03
2020-11-23,ARKQ,"NVIDIA CORP",NVDA,67066G104,19703.00,10355896.80,1.01
2020-11-23,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,87154.00,10021838.46,0.98
2020-11-23,ARKQ,"AUTODESK INC",ADSK,052769106,37692.00,9696267.00,0.95
2020-11-23,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,37987.00,9564366.86,0.94
2020-11-23,ARKQ,"APPLE INC",AAPL,037833100,78642.00,8953391.70,0.88
2020-11-23,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,8113335.48,8113335.48,0.79
2020-11-23,ARKQ,"HONEYWELL INTERNATIONAL INC",HON,438516106,25464.00,5209425.12,0.51
2020-11-23,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,184172.00,4374085.00,0.43
2020-11-23,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,198425.00,1726297.50,0.17
