date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-01-14,IZRL,"STRATASYS LTD",SSYS,M85548101,141519.00,4637577.63,4.25
2021-01-14,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,421681.00,3946934.16,3.62
2021-01-14,IZRL,"PERION NETWORK LTD",PERI,M78673114,286489.00,3887655.73,3.56
2021-01-14,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,33045.00,3799897.50,3.48
2021-01-14,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,13414.00,3622450.70,3.32
2021-01-14,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,27137.00,3606964.73,3.31
2021-01-14,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,329199.00,3374289.75,3.09
2021-01-14,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,441851.00,3313882.50,3.04
2021-01-14,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,110853.00,3223605.24,2.95
2021-01-14,IZRL,"ALLOT LTD",ALLT,M0854Q105,215512.00,3189577.60,2.92
2021-01-14,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,19558.00,3094075.60,2.84
2021-01-14,IZRL,"INMODE LTD",INMD,M5425M103,54167.00,3067477.21,2.81
2021-01-14,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,37969.00,3040177.83,2.79
2021-01-14,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,557407.00,2969500.95,2.72
2021-01-14,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,155258.00,2965427.80,2.72
2021-01-14,IZRL,"CAMTEK LTD",CAMT,M20791105,119818.00,2964297.32,2.72
2021-01-14,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,552026.00,2885379.74,2.64
2021-01-14,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,17857.00,2791128.51,2.56
2021-01-14,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,36725.00,2774941.00,2.54
2021-01-14,IZRL,"SILICOM LTD",SILC,M84116108,61369.00,2776333.56,2.54
2021-01-14,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,235553.00,2708859.50,2.48
2021-01-14,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,855945.00,2696226.75,2.47
2021-01-14,IZRL,"RADWARE LTD",RDWR,M81873107,89308.00,2555994.96,2.34
2021-01-14,IZRL,"NICE LTD - SPON ADR",NICE,653656108,9260.00,2532610.00,2.32
2021-01-14,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,18359.00,2514568.33,2.30
2021-01-14,IZRL,"HILAN LTD",HLAN,6267230,50178.00,2421120.60,2.22
2021-01-14,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,71616.00,2225825.28,2.04
2021-01-14,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,17157.00,2206904.91,2.02
2021-01-14,IZRL,"MATRIX IT LTD",MTRX,6747754,90987.00,2100831.55,1.93
2021-01-14,IZRL,"AUDIOCODES LTD",AUDC,M15342104,65594.00,2020295.20,1.85
2021-01-14,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,96592.00,2021670.56,1.85
2021-01-14,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,1804739.00,1988048.52,1.82
2021-01-14,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,1454360.00,1988790.33,1.82
2021-01-14,IZRL,"POLYPID LTD",PYPD,M8001Q118,181943.00,1964984.40,1.80
2021-01-14,IZRL,"KAMADA LTD",KMDA,B0L2CR5,274512.00,1931222.88,1.77
2021-01-14,IZRL,"AYALA PHARMACEUTICALS INC",AYLA,05465V108,153386.00,1932663.60,1.77
2021-01-14,IZRL,"WIX.COM LTD",WIX,M98068105,7672.00,1906568.72,1.75
2021-01-14,IZRL,"COMPUGEN LTD",CGEN,M25722105,131789.00,1780469.39,1.63
2021-01-14,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,210796.00,1715879.44,1.57
2021-01-14,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,218596.00,1611052.52,1.48
2021-01-14,IZRL,"BIONDVAX PHARMACEUTICALS-ADR",BVXV,09073Q105,54558.00,196408.80,0.18
2021-01-14,IZRL,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,146302.98,146302.98,0.13
