date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-01-11,ARKW,"TESLA INC",TSLA,88160R101,725266.00,588328526.54,10.06
2021-01-11,ARKW,"ROKU INC",ROKU,77543R102,862104.00,347539985.52,5.94
2021-01-11,ARKW,"SQUARE INC - A",SQ,852234103,1084166.00,244479433.00,4.18
2021-01-11,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,6445269.00,241053060.60,4.12
2021-01-11,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,981308.00,216731684.88,3.71
2021-01-11,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,555732.00,191210709.24,3.27
2021-01-11,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,2422437.00,183499602.75,3.14
2021-01-11,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6570108.00,154594641.24,2.64
2021-01-11,ARKW,"SNAP INC - A",SNAP,83304A106,2483005.00,135025811.90,2.31
2021-01-11,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1814076.00,130069249.20,2.22
2021-01-11,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,505782.00,129905048.88,2.22
2021-01-11,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1044711.00,122910249.15,2.10
2021-01-11,ARKW,"SEA LTD-ADR",SE,81141R100,586692.00,122653829.52,2.10
2021-01-11,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,512857.00,121803537.50,2.08
2021-01-11,ARKW,"NETFLIX INC",NFLX,64110L106,241373.00,120469264.30,2.06
2021-01-11,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,823243.00,117880165.17,2.02
2021-01-11,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,97587.00,114922354.68,1.97
2021-01-11,ARKW,"TWILIO INC - A",TWLO,90138F102,299494.00,108419822.94,1.85
2021-01-11,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1197190.00,101868897.10,1.74
2021-01-11,ARKW,"DOCUSIGN INC",DOCU,256163106,420638.00,101356932.48,1.73
2021-01-11,ARKW,"PAGERDUTY INC",PD,69553P100,2237999.00,98292916.08,1.68
2021-01-11,ARKW,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,3693234.00,96873527.82,1.66
2021-01-11,ARKW,"LENDINGTREE INC","TREE UW",52603B107,356781.00,96245242.56,1.65
2021-01-11,ARKW,"HUYA INC-ADR",HUYA,44852D108,4582960.00,95142249.60,1.63
2021-01-11,ARKW,"NVIDIA CORP",NVDA,67066G104,161267.00,87867937.62,1.50
2021-01-11,ARKW,"KE HOLDINGS INC",BEKE,482497104,1342291.00,86295888.39,1.48
2021-01-11,ARKW,"MERCADOLIBRE INC",MELI,58733R102,47088.00,82947866.40,1.42
2021-01-11,ARKW,"VERACYTE INC",VCYT,92337F107,1654255.00,82481154.30,1.41
2021-01-11,ARKW,"2U INC",TWOU,90214J101,1892624.00,82139881.60,1.40
2021-01-11,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,232627.00,78560464.17,1.34
2021-01-11,ARKW,"BAIDU INC - SPON ADR",BIDU,056752108,332279.00,72951854.45,1.25
2021-01-11,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,909990.00,72153107.10,1.23
2021-01-11,ARKW,"UNITY SOFTWARE INC",U,91332U101,506162.00,71626984.62,1.22
2021-01-11,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,463860.00,70664432.40,1.21
2021-01-11,ARKW,"AGORA INC-ADR",API,00851L103,1650599.00,70414553.34,1.20
2021-01-11,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,299636.00,68128237.32,1.17
2021-01-11,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,85764.00,66835027.56,1.14
2021-01-11,ARKW,"JD.COM INC-ADR",JD,47215P106,697296.00,63021612.48,1.08
2021-01-11,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,270211.00,62753802.64,1.07
2021-01-11,ARKW,"HUBSPOT INC",HUBS,443573100,150613.00,60615707.98,1.04
2021-01-11,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,493555.00,60509843.00,1.03
2021-01-11,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,762199.00,58308223.50,1.00
2021-01-11,ARKW,"APPLE INC",AAPL,037833100,444549.00,57337930.02,0.98
2021-01-11,ARKW,"SPLUNK INC",SPLK,848637104,336336.00,56003307.36,0.96
2021-01-11,ARKW,"ADOBE INC",ADBE,00724F101,113169.00,53669266.56,0.92
2021-01-11,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,230621.00,53197346.07,0.91
