date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-15,ARKW,"TESLA INC",TSLA,88160R101,774508.00,490457191.00,9.95
2020-12-15,ARKW,"ROKU INC",ROKU,77543R102,1220551.00,390747197.14,7.93
2020-12-15,ARKW,"SQUARE INC - A",SQ,852234103,1167057.00,256740869.43,5.21
2020-12-15,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,539367.00,176356827.99,3.58
2020-12-15,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,816890.00,160200297.90,3.25
2020-12-15,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6604638.00,142660180.80,2.89
2020-12-15,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,5806647.00,135033575.99,2.74
2020-12-15,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,455682.00,125563175.10,2.55
2020-12-15,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1778001.00,125722450.71,2.55
2020-12-15,ARKW,"PAGERDUTY INC",PD,69553P100,2802689.00,125700601.65,2.55
2020-12-15,ARKW,"TWILIO INC - A",TWLO,90138F102,354726.00,122415942.60,2.48
2020-12-15,ARKW,"SNAP INC - A",SNAP,83304A106,2236979.00,114868871.65,2.33
2020-12-15,ARKW,"PAYPAL HOLDINGS INC",PYPL,70450Y103,462021.00,102383853.60,2.08
2020-12-15,ARKW,"FASTLY INC - CLASS A",FSLY,31188V100,1078547.00,101275563.30,2.05
2020-12-15,ARKW,"NETFLIX INC",NFLX,64110L106,193732.00,100698018.96,2.04
2020-12-15,ARKW,"SEA LTD-ADR",SE,81141R100,528567.00,99418167.03,2.02
2020-12-15,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,741650.00,99232770.00,2.01
2020-12-15,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1355869.00,99141141.28,2.01
2020-12-15,ARKW,"LENDINGTREE INC","TREE UW",52603B107,360255.00,97578669.30,1.98
2020-12-15,ARKW,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,828396.00,91935388.08,1.86
2020-12-15,ARKW,"VERACYTE INC",VCYT,92337F107,1670364.00,90567136.08,1.84
2020-12-15,ARKW,"UNITY SOFTWARE INC",U,91332U101,628243.00,90831372.94,1.84
2020-12-15,ARKW,"HUYA INC-ADR",HUYA,44852D108,4128842.00,83402608.40,1.69
2020-12-15,ARKW,"SOCIAL CAPITAL HEDOSOPHIA-A",IPOB,G8250T109,2831882.00,78952870.16,1.60
2020-12-15,ARKW,"KE HOLDINGS INC",BEKE,482497104,1209298.00,76935538.76,1.56
2020-12-15,ARKW,"DOCUSIGN INC",DOCU,256163106,324151.00,75754088.70,1.54
2020-12-15,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,77289.00,72120684.57,1.46
2020-12-15,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,66640.00,71578024.00,1.45
2020-12-15,ARKW,"MERCADOLIBRE INC",MELI,58733R102,42438.00,70828597.62,1.44
2020-12-15,ARKW,"2U INC",TWOU,90214J101,1911052.00,68568545.76,1.39
2020-12-15,ARKW,"AGORA INC-ADR",API,00851L103,1487013.00,66573572.01,1.35
2020-12-15,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,819840.00,60840326.40,1.23
2020-12-15,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,145610.00,58161002.30,1.18
2020-12-15,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,686670.00,55936138.20,1.13
2020-12-15,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,515914.00,54217402.26,1.10
2020-12-15,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,417881.00,53396834.18,1.08
2020-12-15,ARKW,"HUBSPOT INC",HUBS,443573100,135688.00,51547871.20,1.05
2020-12-15,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,289654.00,50669174.22,1.03
2020-12-15,ARKW,"JD.COM INC-ADR",JD,47215P106,628221.00,49943569.50,1.01
2020-12-15,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,207746.00,49381224.20,1.00
2020-12-15,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,1068189.00,48645327.06,0.99
2020-12-15,ARKW,"SPLUNK INC",SPLK,848637104,303026.00,49029606.80,0.99
2020-12-15,ARKW,"SALESFORCE.COM INC",CRM,79466L302,211522.00,46566568.30,0.94
2020-12-15,ARKW,"OKTA INC",OKTA,679295105,173197.00,44191214.55,0.90
2020-12-15,ARKW,"LENDINGCLUB CORP",LC,52603A208,4673794.00,42484787.46,0.86
2020-12-15,ARKW,"SYNOPSYS INC",SNPS,871607107,172469.00,41865125.06,0.85
2020-12-15,ARKW,"NVIDIA CORP",NVDA,67066G104,74431.00,39777415.02,0.81
2020-12-15,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,154838.00,39500722.18,0.80
2020-12-15,ARKW,"ADOBE INC",ADBE,00724F101,76934.00,37131425.76,0.75
2020-12-15,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,1247596.00,32973962.28,0.67
2020-12-15,ARKW,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,18192081.94,18192081.94,0.37
2020-12-15,ARKW,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,29419.00,1237951.52,0.03
