date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-15,ARKF,"SQUARE INC - A",SQ,852234103,775456.00,170592565.44,10.93
2020-12-15,ARKF,"MERCADOLIBRE INC",MELI,58733R102,46081.00,76908728.19,4.93
2020-12-15,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,1036464.00,73288369.44,4.70
2020-12-15,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,537550.00,71924190.00,4.61
2020-12-15,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,566516.00,62871945.68,4.03
2020-12-15,ARKF,"ADYEN NV",ADYEN,BZ1HM42,25674.00,58071139.32,3.72
2020-12-15,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,254409.00,56377034.40,3.61
2020-12-15,ARKF,"SEA LTD-ADR",SE,81141R100,290135.00,54571492.15,3.50
2020-12-15,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,725681.00,53061794.72,3.40
2020-12-15,ARKF,"LENDINGTREE INC","TREE UW",52603B107,172402.00,46696805.72,2.99
2020-12-15,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,171006.00,43625340.66,2.80
2020-12-15,ARKF,"TWILIO INC - A",TWLO,90138F102,119496.00,41238069.60,2.64
2020-12-15,ARKF,"MEITUAN-CLASS B",3690,BGJW376,1156615.00,40913338.28,2.62
2020-12-15,ARKF,"SNAP INC - A",SNAP,83304A106,764511.00,39257639.85,2.52
2020-12-15,ARKF,"DOCUSIGN INC",DOCU,256163106,162079.00,37877862.30,2.43
2020-12-15,ARKF,"APPLE INC",AAPL,037833100,273393.00,34961496.84,2.24
2020-12-15,ARKF,"AMAZON.COM INC",AMZN,023135106,10487.00,33192613.44,2.13
2020-12-15,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,117936.00,32497264.80,2.08
2020-12-15,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,528996.00,30636061.81,1.96
2020-12-15,ARKF,"Z HOLDINGS CORP",4689,6084848,5088107.00,30115741.15,1.93
2020-12-15,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,6268545.00,29274127.79,1.88
2020-12-15,ARKF,"SPLUNK INC",SPLK,848637104,177672.00,28747329.60,1.84
2020-12-15,ARKF,"INTUIT INC",INTU,461202103,71105.00,25628375.15,1.64
2020-12-15,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,108271.00,23846687.75,1.53
2020-12-15,ARKF,"SOCIAL CAPITAL HEDOSOPHIA-A",IPOB,G8250T109,811247.00,22617566.36,1.45
2020-12-15,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,173420.00,21934161.60,1.41
2020-12-15,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,500996.00,21843425.60,1.40
2020-12-15,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,201333.00,21158084.97,1.36
2020-12-15,ARKF,"PINDUODUO INC-ADR",PDD,722304102,146953.00,20871734.59,1.34
2020-12-15,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,386847.00,19748539.35,1.27
2020-12-15,ARKF,"DISCOVERY LTD",DSY,6177878,1844376.00,18466679.20,1.18
2020-12-15,ARKF,"LENDINGCLUB CORP",LC,52603A208,1879598.00,17085545.82,1.10
2020-12-15,ARKF,"INTERACTIVE BROKERS GRO-CL A",IBKR,45841N107,299533.00,16989511.76,1.09
2020-12-15,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,15352.00,16489583.20,1.06
2020-12-15,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,84028.00,16478731.08,1.06
2020-12-15,ARKF,"SBI HOLDINGS INC",8473,6309466,575162.00,15373172.58,0.99
2020-12-15,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,221373.00,15228248.67,0.98
2020-12-15,ARKF,"JD.COM INC-ADR",JD,47215P106,190145.00,15116527.50,0.97
2020-12-15,ARKF,TRANSUNION,TRU,89400J107,152312.00,15141335.92,0.97
2020-12-15,ARKF,"NVIDIA CORP",NVDA,67066G104,27664.00,14784194.88,0.95
2020-12-15,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,456578.00,14838785.00,0.95
2020-12-15,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,61692.00,12100268.88,0.78
2020-12-15,ARKF,"YEAHKA LTD",9923,BL58D39,2582800.00,12045025.54,0.77
2020-12-15,ARKF,"KE HOLDINGS INC",BEKE,482497104,180483.00,11482328.46,0.74
2020-12-15,ARKF,"BASE INC",4477,BKRQ8Q2,91300.00,7497110.05,0.48
2020-12-15,ARKF,"MARKETAXESS HOLDINGS INC",MKTX,57060D108,13401.00,7421339.79,0.48
2020-12-15,ARKF,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,5103754.52,5103754.52,0.33
2020-12-15,ARKF,"JD HEALTH INTERNATIONAL INC",6618,BMW8R04,112325.00,1996798.73,0.13
2020-12-15,ARKF,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,21140.00,889571.20,0.06
2020-12-15,ARKF,"JAPANESE YEN",,CCTJPY,34367575.00,331621.32,0.02
2020-12-15,ARKF,"JAPANESE YEN",,CCTJPY,14728961.00,142123.42,0.01
2020-12-15,ARKF,"SOUTH AFRICAN RAND",,CCTZAR,1207852.41,81131.98,0.01
2020-12-15,ARKF,"ZSCALER INC",ZS,98980G102,902.00,163478.48,0.01
