date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-04,ARKK,"TESLA INC",TSLA,88160R101,2418695.00,1448895052.80,10.20
2020-12-04,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,6506612.00,959985534.48,6.76
2020-12-04,ARKK,"ROKU INC",ROKU,77543R102,3153790.00,934720280.20,6.58
2020-12-04,ARKK,"INVITAE CORP",NVTA,46185L103,17598486.00,895410967.68,6.30
2020-12-04,ARKK,"SQUARE INC - A",SQ,852234103,3664161.00,762695112.15,5.37
2020-12-04,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,2878396.00,586214129.36,4.13
2020-12-04,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,1317610.00,421332149.70,2.97
2020-12-04,ARKK,"PROTO LABS INC",PRLB,743713109,2995023.00,407592680.07,2.87
2020-12-04,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,18756793.00,393892653.00,2.77
2020-12-04,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,3597951.00,384872818.47,2.71
2020-12-04,ARKK,"TWILIO INC - A",TWLO,90138F102,977935.00,312440453.15,2.20
2020-12-04,ARKK,"PAGERDUTY INC",PD,69553P100,7613933.00,310953023.72,2.19
2020-12-04,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,7060596.00,304382293.56,2.14
2020-12-04,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,2790864.00,289496322.72,2.04
2020-12-04,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6654627.00,289076996.88,2.03
2020-12-04,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,5991543.00,288133302.87,2.03
2020-12-04,ARKK,"VERACYTE INC",VCYT,92337F107,4978928.00,286885831.36,2.02
2020-12-04,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,2108301.00,280129953.87,1.97
2020-12-04,ARKK,"LENDINGTREE INC","TREE UW",52603B107,1140643.00,279092529.24,1.96
2020-12-04,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,2131815.00,274108772.70,1.93
2020-12-04,ARKK,"2U INC",TWOU,90214J101,8120745.00,263518175.25,1.85
2020-12-04,ARKK,"DOCUSIGN INC",DOCU,256163106,1057241.00,257142156.02,1.81
2020-12-04,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,7140537.00,246277121.13,1.73
2020-12-04,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,2218872.00,242367388.56,1.71
2020-12-04,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,8501171.00,216099766.82,1.52
2020-12-04,ARKK,"PAYPAL HOLDINGS INC",PYPL,70450Y103,963365.00,209791996.05,1.48
2020-12-04,ARKK,"UNITY SOFTWARE INC",U,91332U101,1181649.00,178358100.06,1.26
2020-12-04,ARKK,"KE HOLDINGS INC",BEKE,482497104,2843255.00,176338675.10,1.24
2020-12-04,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,160876.00,169545607.64,1.19
2020-12-04,ARKK,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,2354325.00,161035830.00,1.13
2020-12-04,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,7537025.00,152097164.50,1.07
2020-12-04,ARKK,"SEA LTD-ADR",SE,81141R100,729292.00,144968663.76,1.02
2020-12-04,ARKK,"SPLUNK INC",SPLK,848637104,900458.00,145036770.06,1.02
2020-12-04,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,351499.00,144118104.99,1.01
2020-12-04,ARKK,"COMPUGEN LTD",CGEN,M25722105,10940184.00,138830934.96,0.98
2020-12-04,ARKK,"CERUS CORP",CERS,157085101,19218009.00,138177484.71,0.97
2020-12-04,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,4039092.00,138500464.68,0.97
2020-12-04,ARKK,"SYNOPSYS INC",SNPS,871607107,561365.00,132976141.20,0.94
2020-12-04,ARKK,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1705187.00,129133811.51,0.91
2020-12-04,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,1901461.00,127987339.91,0.90
2020-12-04,ARKK,"STRATASYS LTD",SSYS,M85548101,7107018.00,128068464.36,0.90
2020-12-04,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,2138427.00,125803660.41,0.89
2020-12-04,ARKK,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,2691392.00,115191577.60,0.81
2020-12-04,ARKK,"HUYA INC-ADR",HUYA,44852D108,5340181.00,101463439.00,0.71
2020-12-04,ARKK,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,51133709.62,51133709.62,0.36
2020-12-04,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,5097545.00,39556949.20,0.28
2020-12-04,ARKK,"EXONE CO/THE",XONE,302104104,1390814.00,16550686.60,0.12
2020-12-04,ARKK,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,835271.00,6732284.26,0.05
2020-12-04,ARKK,"DOUYU INTERNATIONAL HOLD-ADR",DOYU,25985W105,210446.00,2521143.08,0.02
