date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-02-04,ARKF,"SQUARE INC - A",SQ,852234103,1227148.00,291717622.56,9.12
2021-02-04,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1617353.00,154279302.67,4.83
2021-02-04,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,940145.00,139705547.00,4.37
2021-02-04,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,511019.00,138194868.17,4.32
2021-02-04,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,1614486.00,125671590.24,3.93
2021-02-04,ARKF,"MERCADOLIBRE INC",MELI,58733R102,65866.00,124707391.10,3.90
2021-02-04,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1038943.00,119010920.65,3.72
2021-02-04,ARKF,"SEA LTD-ADR",SE,81141R100,476304.00,116199123.84,3.63
2021-02-04,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,876231.00,103333921.83,3.23
2021-02-04,ARKF,"ADYEN NV",ADYEN,BZ1HM42,44874.00,102187732.00,3.20
2021-02-04,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,352671.00,94149050.16,2.94
2021-02-04,ARKF,"MEITUAN-CLASS B",3690,BGJW376,1807486.00,93489650.25,2.92
2021-02-04,ARKF,"TWILIO INC - A",TWLO,90138F102,209193.00,83570511.57,2.61
2021-02-04,ARKF,"YEAHKA LTD",9923,BL58D39,7257600.00,80881834.19,2.53
2021-02-04,ARKF,"SNAP INC - A",SNAP,83304A106,1336976.00,77959070.56,2.44
2021-02-04,ARKF,"AMAZON.COM INC",AMZN,023135106,22546.00,75100726.00,2.35
2021-02-04,ARKF,"DOCUSIGN INC",DOCU,256163106,283469.00,69736208.69,2.18
2021-02-04,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,10970045.00,69334391.67,2.17
2021-02-04,ARKF,"APPLE INC",AAPL,037833100,478253.00,65707179.67,2.06
2021-02-04,ARKF,"Z HOLDINGS CORP",4689,6084848,10218830.00,64181746.24,2.01
2021-02-04,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,50308.00,63431847.96,1.98
2021-02-04,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,231600.00,61186404.00,1.91
2021-02-04,ARKF,"LENDINGTREE INC","TREE UW",52603B107,172402.00,58692536.88,1.84
2021-02-04,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,206206.00,54951836.94,1.72
2021-02-04,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,1886008.00,53713507.84,1.68
2021-02-04,ARKF,"SPLUNK INC",SPLK,848637104,310648.00,53512224.48,1.67
2021-02-04,ARKF,"PINDUODUO INC-ADR",PDD,722304102,257024.00,50700554.24,1.59
2021-02-04,ARKF,"INTUIT INC",INTU,461202103,124360.00,48839902.80,1.53
2021-02-04,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,173143.00,47932908.12,1.50
2021-02-04,ARKF,"JD.COM INC-ADR",JD,47215P106,477298.00,45166709.74,1.41
2021-02-04,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,352129.00,45125331.35,1.41
2021-02-04,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,953336.00,40087778.80,1.25
2021-02-04,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,541196.00,39348202.20,1.23
2021-02-04,ARKF,"KE HOLDINGS INC",BEKE,482497104,601262.00,39070004.76,1.22
2021-02-04,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,676697.00,37353674.40,1.17
2021-02-04,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,303450.00,36662829.00,1.15
2021-02-04,ARKF,"BASE INC",4477,BKRQ8Q2,317800.00,34717267.52,1.09
2021-02-04,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,387323.00,30889009.25,0.97
2021-02-04,ARKF,"NVIDIA CORP",NVDA,67066G104,56100.00,30662577.00,0.96
2021-02-04,ARKF,"DISCOVERY LTD",DSY,6177878,3225880.00,28815354.40,0.90
2021-02-04,ARKF,"LENDINGCLUB CORP",LC,52603A208,1879598.00,24716713.70,0.77
2021-02-04,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,107816.00,20311456.24,0.64
2021-02-04,ARKF,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,19932651.15,19932651.15,0.62
2021-02-04,ARKF,"BILL.COM HOLDINGS INC",BILL,090043100,98899.00,13833003.13,0.43
