date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-02-24,ARKQ,"TESLA INC",TSLA,88160R101,554217.00,411240098.34,10.53
2021-02-24,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,690780.00,210004027.80,5.38
2021-02-24,ARKQ,"TRIMBLE INC",TRMB,896239100,2466522.00,187578998.10,4.80
2021-02-24,ARKQ,"DEERE & CO",DE,244199105,537760.00,185882121.60,4.76
2021-02-24,ARKQ,"JD.COM INC-ADR",JD,47215P106,1762855.00,169886336.35,4.35
2021-02-24,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,5022168.00,150941259.24,3.86
2021-02-24,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,71024.00,148807354.08,3.81
2021-02-24,ARKQ,"TERADYNE INC",TER,880770102,1088987.00,146131165.53,3.74
2021-02-24,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,680427.00,126702311.67,3.24
2021-02-24,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,3890717.00,119250476.05,3.05
2021-02-24,ARKQ,"CATERPILLAR INC",CAT,149123101,485011.00,107900397.17,2.76
2021-02-24,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,2005607.00,101965059.88,2.61
2021-02-24,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,763328.00,100988294.40,2.59
2021-02-24,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,290802.00,100771617.06,2.58
2021-02-24,ARKQ,"NVIDIA CORP",NVDA,67066G104,170163.00,98687733.48,2.53
2021-02-24,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,228021.00,89115167.22,2.28
2021-02-24,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,7420956.00,87715699.92,2.25
2021-02-24,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,2088704.00,84822269.44,2.17
2021-02-24,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,1428563.00,80870951.43,2.07
2021-02-24,ARKQ,"SYNOPSYS INC",SNPS,871607107,307640.00,80195595.20,2.05
2021-02-24,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1586303.00,73160294.36,1.87
2021-02-24,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,618453.00,72427030.83,1.85
2021-02-24,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,1705744.00,66796935.04,1.71
2021-02-24,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,764193.00,66347236.26,1.70
2021-02-24,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,85307.00,64723273.97,1.66
2021-02-24,ARKQ,"2U INC",TWOU,90214J101,1177974.00,52702556.76,1.35
2021-02-24,ARKQ,"STRATASYS LTD",SSYS,M85548101,1447535.00,51952031.15,1.33
2021-02-24,ARKQ,"RAVEN INDUSTRIES INC",RAVN,754212108,1210748.00,50355009.32,1.29
2021-02-24,ARKQ,"WORKHORSE GROUP INC",WKHS,98138J206,3244517.00,49089542.21,1.26
2021-02-24,ARKQ,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,536985.00,47899062.00,1.23
2021-02-24,ARKQ,"ANSYS INC",ANSS,03662Q105,112350.00,43296319.50,1.11
2021-02-24,ARKQ,"ROCKWELL AUTOMATION INC",ROK,773903109,171961.00,42481245.44,1.09
2021-02-24,ARKQ,"XILINX INC",XLNX,983919101,315342.00,42195913.02,1.08
2021-02-24,ARKQ,"FLIR SYSTEMS INC",FLIR,302445101,764194.00,41809053.74,1.07
2021-02-24,ARKQ,"PACCAR INC",PCAR,693718108,412864.00,38924817.92,1.00
2021-02-24,ARKQ,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,154339.00,38637225.26,0.99
2021-02-24,ARKQ,"EXONE CO/THE",XONE,302104104,978062.00,38760597.06,0.99
2021-02-24,ARKQ,"AMAZON.COM INC",AMZN,023135106,12141.00,38359853.73,0.98
2021-02-24,ARKQ,"EXPERIENCE INVESTMENT CORP-A",EXPC,30217C109,2327642.00,38406093.00,0.98
2021-02-24,ARKQ,"PROTO LABS INC",PRLB,743713109,253743.00,38462363.94,0.98
2021-02-24,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,276818.00,37841020.60,0.97
2021-02-24,ARKQ,"AUTODESK INC",ADSK,052769106,106388.00,31800437.08,0.81
2021-02-24,ARKQ,"APPLE INC",AAPL,037833100,157531.00,19746510.85,0.51
2021-02-24,ARKQ,"VUZIX CORP",VUZI,92921W300,792935.00,14978542.15,0.38
2021-02-24,ARKQ,"ATLAS CREST INVESTMENT COR-A",ACIC,049284102,380559.00,5145157.68,0.13
2021-02-24,ARKQ,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,4739880.24,4739880.24,0.12
2021-02-24,ARKQ,"ONE - CLASS A",AONE,G7000X105,208917.00,2853806.22,0.07
2021-02-24,ARKQ,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,193323.00,2677523.55,0.07
2021-02-24,ARKQ,"SPLUNK INC",SPLK,848637104,1284.00,195848.52,0.01
