date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-14,ARKK,"TESLA INC",TSLA,88160R101,2605943.00,1667360509.69,10.33
2020-12-14,ARKK,"ROKU INC",ROKU,77543R102,3397921.00,1102013738.72,6.83
2020-12-14,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,6576266.00,986834475.96,6.11
2020-12-14,ARKK,"INVITAE CORP",NVTA,46185L103,17598486.00,954541880.64,5.91
2020-12-14,ARKK,"SQUARE INC - A",SQ,852234103,3947827.00,852177936.22,5.28
2020-12-14,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,3161010.00,615227376.30,3.81
2020-12-14,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,3876423.00,520099673.91,3.22
2020-12-14,ARKK,"PROTO LABS INC",PRLB,743713109,3226827.00,490703581.89,3.04
2020-12-14,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,1419506.00,454724552.04,2.82
2020-12-14,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,7140537.00,439071620.13,2.72
2020-12-14,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,20208663.00,436507120.80,2.70
2020-12-14,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,7607112.00,382333449.12,2.37
2020-12-14,ARKK,"TWILIO INC - A",TWLO,90138F102,1053699.00,368889482.91,2.28
2020-12-14,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6654627.00,346706066.70,2.15
2020-12-14,ARKK,"PAGERDUTY INC",PD,69553P100,7613933.00,336383559.94,2.08
2020-12-14,ARKK,"LENDINGTREE INC","TREE UW",52603B107,1229003.00,325931595.60,2.02
2020-12-14,ARKK,"EXACT SCIENCES CORP",EXAS,30063P105,2496774.00,324081265.20,2.01
2020-12-14,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,2296879.00,322148764.15,2.00
2020-12-14,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,3006876.00,311392078.56,1.93
2020-12-14,ARKK,"2U INC",TWOU,90214J101,8120745.00,299087038.35,1.85
2020-12-14,ARKK,"VERACYTE INC",VCYT,92337F107,5032228.00,278936398.04,1.73
2020-12-14,ARKK,"DOCUSIGN INC",DOCU,256163106,1139021.00,260072664.93,1.61
2020-12-14,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,2390678.00,257499927.38,1.60
2020-12-14,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,6055685.00,248283085.00,1.54
2020-12-14,ARKK,"PAYPAL HOLDINGS INC",PYPL,70450Y103,1038001.00,229180240.79,1.42
2020-12-14,ARKK,"KE HOLDINGS INC",BEKE,482497104,3466925.00,228193003.50,1.41
2020-12-14,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,8501171.00,210914052.51,1.31
2020-12-14,ARKK,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,2536525.00,190873506.25,1.18
2020-12-14,ARKK,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,478722.00,189569124.78,1.17
2020-12-14,ARKK,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,186598516.08,186598516.08,1.16
2020-12-14,ARKK,"UNITY SOFTWARE INC",U,91332U101,1273179.00,186800822.88,1.16
2020-12-14,ARKK,"SHOPIFY INC - CLASS A",SHOP,82509L107,173284.00,183537214.28,1.14
2020-12-14,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,7617703.00,159209992.70,0.99
2020-12-14,ARKK,"SPLUNK INC",SPLK,848637104,970206.00,154631432.28,0.96
2020-12-14,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,2228870.00,153803174.35,0.95
2020-12-14,ARKK,"SEA LTD-ADR",SE,81141R100,785692.00,149485759.92,0.93
2020-12-14,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,4351736.00,148220128.16,0.92
2020-12-14,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,2048665.00,142976330.35,0.89
2020-12-14,ARKK,"SYNOPSYS INC",SNPS,871607107,604793.00,144460855.98,0.89
2020-12-14,ARKK,"COMPUGEN LTD",CGEN,M25722105,10940184.00,141347177.28,0.88
2020-12-14,ARKK,"STRATASYS LTD",SSYS,M85548101,7107018.00,139652903.70,0.87
2020-12-14,ARKK,"CERUS CORP",CERS,157085101,19218009.00,137024404.17,0.85
2020-12-14,ARKK,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1837163.00,134406845.08,0.83
2020-12-14,ARKK,"HUYA INC-ADR",HUYA,44852D108,5753593.00,116222578.60,0.72
2020-12-14,ARKK,"BAIDU INC - SPON ADR",BIDU,056752108,509410.00,83013453.60,0.51
2020-12-14,ARKK,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,1761493.00,74440694.18,0.46
2020-12-14,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,5097545.00,59386399.25,0.37
2020-12-14,ARKK,"EXONE CO/THE",XONE,302104104,1109064.00,12887323.68,0.08
2020-12-14,ARKK,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,835271.00,6206063.53,0.04
