date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2020-12-14,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,3155453.00,473507277.18,8.09
2020-12-14,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,4071982.00,437900944.28,7.48
2020-12-14,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,20016038.00,418335194.20,7.14
2020-12-14,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,2433222.00,341271551.61,5.83
2020-12-14,ARKG,"INVITAE CORP",NVTA,46185L103,6195551.00,336046686.24,5.74
2020-12-14,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,2308424.00,222485905.12,3.80
2020-12-14,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,4296664.00,215950332.64,3.69
2020-12-14,ARKG,"CAREDX INC",CDNA,14167L103,3074781.00,213051575.49,3.64
2020-12-14,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,1077121.00,209640060.23,3.58
2020-12-14,ARKG,"PERSONALIS INC",PSNL,71535D106,5775678.00,200069485.92,3.42
2020-12-14,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,1464708.00,190119098.40,3.25
2020-12-14,ARKG,"CELLECTIS - ADR",CLLS,15117K103,6051067.00,188853801.07,3.22
2020-12-14,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,6513552.00,140692723.20,2.40
2020-12-14,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2022952.00,124391318.48,2.12
2020-12-14,ARKG,"VERACYTE INC",VCYT,92337F107,2177053.00,120674047.79,2.06
2020-12-14,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2184178.00,113795673.80,1.94
2020-12-14,ARKG,"INCYTE CORP",INCY,45337C102,1235256.00,107232573.36,1.83
2020-12-14,ARKG,"ACCOLADE INC",ACCD,00437E102,1783080.00,98408185.20,1.68
2020-12-14,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,96054721.48,96054721.48,1.64
2020-12-14,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,395622.00,90253246.86,1.54
2020-12-14,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3561614.00,88363643.34,1.51
2020-12-14,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,4696943.00,88490406.12,1.51
2020-12-14,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,1000439.00,82846353.59,1.41
2020-12-14,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,1224616.00,75828222.72,1.29
2020-12-14,ARKG,"COMPUGEN LTD",CGEN,M25722105,5735230.00,74099171.60,1.27
2020-12-14,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,143982.00,72045713.16,1.23
2020-12-14,ARKG,"ROCHE HOLDINGS LTD-SPONS ADR",RHHBY,771195104,1672584.00,71385885.12,1.22
2020-12-14,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,778065.00,70453785.75,1.20
2020-12-14,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,1163708.00,66540823.44,1.14
2020-12-14,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1385056.00,66247228.48,1.13
2020-12-14,ARKG,"SCHRODINGER INC",SDGR,80810D103,898965.00,64752448.95,1.11
2020-12-14,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,746954.00,62676910.14,1.07
2020-12-14,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,401553.00,60935667.75,1.04
2020-12-14,ARKG,"ALPHABET INC-CL A",GOOGL,02079K305,34016.00,59604876.16,1.02
2020-12-14,ARKG,"CERUS CORP",CERS,157085101,8174256.00,58282445.28,1.00
2020-12-14,ARKG,"PHREESIA INC",PHR,71944F106,991221.00,54408120.69,0.93
2020-12-14,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,112446.00,52526899.98,0.90
2020-12-14,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,767768.00,52979830.84,0.90
2020-12-14,ARKG,"GUARDANT HEALTH INC",GH,40131M109,406880.00,49631222.40,0.85
2020-12-14,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,6715868.00,49697423.20,0.85
2020-12-14,ARKG,"CODEXIS INC",CDXS,192005106,2614805.00,49262926.20,0.84
2020-12-14,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3167084.00,36896528.60,0.63
2020-12-14,ARKG,"SAREPTA THERAPEUTICS INC",SRPT,803607100,182890.00,31007170.60,0.53
2020-12-14,ARKG,"EVOGENE LTD",EVGN,M4119S104,4594499.00,18194216.04,0.31
2020-12-14,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,453255.00,17903572.50,0.31
2020-12-14,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,2868376.00,17583144.88,0.30
2020-12-14,ARKG,"LONGVIEW ACQUISITION CORP-A",LGVW,543195101,897960.00,13927359.60,0.24
2020-12-14,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,790194.00,8281233.12,0.14
2020-12-14,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375102.00,2787007.86,0.05
