date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2021-02-02,PRNT,"EXONE CO/THE",XONE,302104104,885194.00,29370736.92,8.77
2021-02-02,PRNT,"STRATASYS LTD",SSYS,M85548101,432057.00,20090650.50,6.00
2021-02-02,PRNT,"3D SYSTEMS CORP",DDD,88554D205,498240.00,19361606.40,5.78
2021-02-02,PRNT,"PROTO LABS INC",PRLB,743713109,74089.00,16147697.55,4.82
2021-02-02,PRNT,"MGI DIGITAL GRAPHIC TECHNOLO",ALMDG,B18FJV7,225416.00,14381211.93,4.29
2021-02-02,PRNT,"PTC INC",PTC,69370C100,104200.00,14380642.00,4.29
2021-02-02,PRNT,"MICROSOFT CORP",MSFT,594918104,59556.00,14264257.56,4.26
2021-02-02,PRNT,"RENISHAW PLC",RSW,0732358,170194.00,14064274.98,4.20
2021-02-02,PRNT,"STRAUMANN HOLDING AG-REG",STMN,7156832,11890.00,13837899.54,4.13
2021-02-02,PRNT,"DESKTOP METAL INC-A",DM,25058X105,558405.00,13703258.70,4.09
2021-02-02,PRNT,"SLM SOLUTIONS GROUP AG",AM3D,BMHTHK2,584288.00,13630620.22,4.07
2021-02-02,PRNT,"DASSAULT SYSTEMES SE",DSY,5330047,65376.00,13476707.51,4.02
2021-02-02,PRNT,"HP INC",HPQ,40434L105,541136.00,13468875.04,4.02
2021-02-02,PRNT,"MATERIALISE NV-ADR",MTLS,57667T100,194363.00,13411047.00,4.00
2021-02-02,PRNT,"TRIMBLE INC",TRMB,896239100,184537.00,13067064.97,3.90
2021-02-02,PRNT,"ANSYS INC",ANSS,03662Q105,34773.00,13044047.76,3.89
2021-02-02,PRNT,"ALTAIR ENGINEERING INC - A",ALTR,021369103,210469.00,12598674.34,3.76
2021-02-02,PRNT,"AUTODESK INC",ADSK,052769106,40840.00,12031872.40,3.59
2021-02-02,PRNT,"ALIGN TECHNOLOGY INC",ALGN,016255101,6832.00,3810684.64,1.14
2021-02-02,PRNT,"HEXAGON AB-B SHS",HEXAB,B1XFTL2,41816.00,3788288.83,1.13
2021-02-02,PRNT,"FARO TECHNOLOGIES INC",FARO,311642102,50065.00,3729341.85,1.11
2021-02-02,PRNT,"AMETEK INC",AME,031100100,30421.00,3543742.29,1.06
2021-02-02,PRNT,"BERTRANDT AG",BDT,5130861,49242.00,3218625.08,0.96
2021-02-02,PRNT,"SIEMENS AG-REG",SIE,5727973,17843.00,2869090.14,0.86
